,Locations,Links,Dates,Prices
0,Nəriman Nərimanov m.,https://bina.az//items/2924053,"Bakı, 05 avqust 2022",1 300AZN/ay
1,Şüvəlan q.,https://bina.az//items/2356637,"Bakı, 02 avqust 2022",400 000AZN
2,Yeni Yasamal q.,https://bina.az//items/2356637,"Bakı, 07 avqust 2022",178 500AZN
3,Xırdalan,https://bina.az//items/2928192,"Xırdalan, 13 avqust 2022",130 000AZN
4,Xətai r.,https://bina.az//items/2929085,"Bakı, 15 avqust 2022",1 950AZN/ay
5,Xırdalan,https://bina.az//items/2929085,"Xırdalan, dünən 16:28",110 000AZN
6,Şüvəlan q.,https://bina.az//items/2929085,"Bakı, bugün 10:54",264 000AZN
7,Bakı,https://bina.az//items/2896020,"Bakı, bugün 14:19",140 500AZN
8,20-ci sahə q.,https://bina.az//items/2861247,"Bakı, 12 avqust 2022",115 000AZN
9,Nəsimi r.,https://bina.az//items/2861247,"Bakı, 03 avqust 2022",3 200AZN/ay
10,Nəsimi r.,https://bina.az//items/2861247,"Bakı, 13 avqust 2022",450 000AZN
11,Şah İsmayıl Xətai m.,https://bina.az//items/2824981,"Bakı, 10 avqust 2022",515 000AZN
12,Nərimanov r.,https://bina.az//items/2824981,"Bakı, bugün 10:14",117 000AZN
13,Bakı,https://bina.az//yasayis-kompleksleri/227,"Bakı, 21 i̇yul 2022",571 340AZN
14,Bakı,https://bina.az//items/2937990,"Bakı, dünən 16:45",227 439AZN
15,Gəncə,https://bina.az//items/2937990,"Gəncə, bugün 14:26",185 000AZN
16,Zabrat q.,https://bina.az//items/1700826,"Bakı, 14 avqust 2022",94 000AZN
17,Həzi Aslanov m.,https://bina.az//items/2729648,"Bakı, 05 avqust 2022",78 000AZN
18,Nizami m.,https://bina.az//items/1583661,"Bakı, bugün 13:35",89 000AZN
19,Biləcəri q.,https://bina.az//items/1583661,"Bakı, 15 avqust 2022",105 000AZN
20,Sabunçu r.,https://bina.az//items/2905028,"Bakı, 15 avqust 2022",299 000AZN
21,Neftçilər m.,https://bina.az//items/2905028,"Bakı, bugün 13:08",79 000AZN
22,8 Noyabr m.,https://bina.az//yasayis-kompleksleri/221,"Bakı, dünən 09:36",115 000AZN
23,Nardaran q.,https://bina.az//yasayis-kompleksleri/262,"Bakı, 03 avqust 2022",166 000AZN
24,Mərdəkan q.,https://bina.az//items/2897717,"Bakı, 10 avqust 2022",240 000AZN
25,Badamdar q.,https://bina.az//items/2897717,"Bakı, 12 avqust 2022",82 000AZN
26,7-ci mikrorayon q.,https://bina.az//items/2940790,"Bakı, dünən 15:46",92 833AZN
27,Xətai r.,https://bina.az//items/2940790,"Bakı, bugün 09:38",425 400AZN
28,Albalılıq q.,https://bina.az//items/2861502,"Bakı, dünən 23:44",210 000AZN
29,Nəsimi r.,https://bina.az//items/2861502,"Bakı, 01 avqust 2022",40AZN/gün
30,Xırdalan,https://bina.az//items/2861502,"Xırdalan, bugün 14:27",139 000AZN
31,Əmircan q.,https://bina.az//items/2945187,"Bakı, 15 avqust 2022",54 000AZN
